date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:44	49975/49975	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2010:24:42%20GMT	https://alfred.nl/	F:/New%20Web/alfred/alfred.nl/index.html	(from )
15:54:44	52/52	---M--	200	added ('OK')	text/plain	date:Mon,%2019%20Jun%202023%2013:39:51%20GMT	https://alfred.nl/robots.txt		(from )
15:54:46	96400/96400	---M--	200	added ('OK')	application/vnd.oasis.opendocument.formula-template	date:Mon,%2019%20Jun%202023%2013:42:33%20GMT	https://alfred.nl/assets/fonts/CircularPro-BlackItalic.otf	F:/New%20Web/alfred/alfred.nl/assets/fonts/CircularPro-BlackItalic.otf	(from https://alfred.nl/)
15:54:46	58609/58609	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2011%20Mar%202024%2010:24:43%20GMT	https://alfred.nl/media/site/1bac70b117-1687182105/alfred-meta-v2-860x540-crop-q72.jpg	F:/New%20Web/alfred/alfred.nl/media/site/1bac70b117-1687182105/alfred-meta-v2-860x540-crop-q72.jpg	(from https://alfred.nl/)
15:54:46	7772/7772	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Jun%202023%2013:42:32%20GMT	https://alfred.nl/assets/css/normalize.css	F:/New%20Web/alfred/alfred.nl/assets/css/normalize.css	(from https://alfred.nl/)
15:54:47	1664/1664	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Jun%202023%2013:42:32%20GMT	https://alfred.nl/assets/css/locomotive-scroll.css	F:/New%20Web/alfred/alfred.nl/assets/css/locomotive-scroll.css	(from https://alfred.nl/)
15:54:47	2422/2422	---MCZ	200	added ('OK')	text/css	etag:%22976-B5i2xpsAytjMhQ8ijn5ElcPP/0s%22	https://unpkg.com/flickity@2.3.0/dist/flickity.css	F:/New%20Web/alfred/unpkg.com/flickity@2.3.0/dist/flickity.css	(from https://alfred.nl/)
15:54:48	33064/33064	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Jun%202023%2013:42:32%20GMT	https://alfred.nl/assets/css/styleguide.css	F:/New%20Web/alfred/alfred.nl/assets/css/styleguide.css	(from https://alfred.nl/)
15:54:48	26924/26924	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Jun%202023%2013:42:32%20GMT	https://alfred.nl/assets/css/components.css	F:/New%20Web/alfred/alfred.nl/assets/css/components.css	(from https://alfred.nl/)
15:54:48	45655/45655	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Jun%202023%2013:42:32%20GMT	https://alfred.nl/assets/css/style.css	F:/New%20Web/alfred/alfred.nl/assets/css/style.css	(from https://alfred.nl/)
15:54:49	67951/67951	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2010:24:47%20GMT	https://alfred.nl/werk	F:/New%20Web/alfred/alfred.nl/werk.html	(from https://alfred.nl/)
15:54:49	41936/41936	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2010:24:48%20GMT	https://alfred.nl/werkwijze	F:/New%20Web/alfred/alfred.nl/werkwijze.html	(from https://alfred.nl/)
15:54:50	36718/36718	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2010:24:48%20GMT	https://alfred.nl/cultuur	F:/New%20Web/alfred/alfred.nl/cultuur.html	(from https://alfred.nl/)
15:54:50	32740/32740	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2010:24:49%20GMT	https://alfred.nl/jobs	F:/New%20Web/alfred/alfred.nl/jobs.html	(from https://alfred.nl/)
15:54:50	23080/23080	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2010:24:49%20GMT	https://alfred.nl/contact	F:/New%20Web/alfred/alfred.nl/contact.html	(from https://alfred.nl/)
15:54:51	204222/204222	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2011%20Mar%202024%2010:24:49%20GMT	https://alfred.nl/media/pages/home/7e2dc456c9-1687182015/g44a4376-480x270-crop-q72.jpg	F:/New%20Web/alfred/alfred.nl/media/pages/home/7e2dc456c9-1687182015/g44a4376-480x270-crop-q72.jpg	(from https://alfred.nl/)
15:54:51	204222/204222	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2011%20Mar%202024%2010:24:49%20GMT	https://alfred.nl/media/pages/home/7e2dc456c9-1687182015/g44a4376-1920x1080-crop-q72.jpg	F:/New%20Web/alfred/alfred.nl/media/pages/home/7e2dc456c9-1687182015/g44a4376-1920x1080-crop-q72.jpg	(from https://alfred.nl/)
15:54:52	37855/37855	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2010:24:50%20GMT	https://alfred.nl/werk/texels-geheim	F:/New%20Web/alfred/alfred.nl/werk/texels-geheim.html	(from https://alfred.nl/)
15:54:53	1586191/1586191	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Mar%202024%2012:55:59%20GMT	https://alfred.nl/media/pages/werk/texels-geheim/d403ea911a-1709217709/texels-geheim.jpg	F:/New%20Web/alfred/alfred.nl/media/pages/werk/texels-geheim/d403ea911a-1709217709/texels-geheim.jpg	(from https://alfred.nl/)
15:54:53	37131/37131	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2010:24:52%20GMT	https://alfred.nl/werk/lidl-deals	F:/New%20Web/alfred/alfred.nl/werk/lidl-deals.html	(from https://alfred.nl/)
